管理No.,島CODE,島名,オアフ地区CODE,オアフ地区名,index,部屋名CODE,部屋名,部屋タイプ,宿泊人数,最低宿泊数,1泊の金額,紹介文,料金について,description,keywords
oahu_01,oahu,オアフ島,,,01,Discovery_Bay,ディスカバリー・ベイ/スィート4104,2ベッドルーム・2バスルーム,最大6名,最低5泊,"50,000円～","弊社所有のスイート4104は、アラモアナ大通り沿いに建つコンドミニアム「ディスカバリー・ベイ」の41階にあり、大きなガラス張りのリビングルームやベッドルームからのパノラマの景観が楽しめる自慢の部屋です。 部屋から臨む夜景は最高に贅沢で、ハワイの旅行の最高の思い出になることでしょう。
1階にはカフエやサンドイッチ店がございます。 アラモアナショピングセンターへも徒歩10分、ビーチへも徒歩5分の便利なローケーション。 休暇で訪れるには、最適な環境が整っています。 贅沢で充実したハワイライフを堪能したい方にお勧めのコンドミニアムです。 11階にはプール、ジャグジー、フィットネスルーム、パティオ/デッキ、サウナ、レクリエーションエリア、BBQセットなども完備されています。

★長期滞在、一ヶ月の場合、600,000円～、詳しくは担当者まで。",,ディスカバリー・ベイ/スィート4104は大きなガラス張りのリビングルームやベッドルームからのパノラマの景観が楽しめる自慢の部屋,"コンドミニアム,オアフ島,ディスカバリー,ベイ"
oahu_02,oahu,オアフ島,,,02,Waikiki_grand,ワイキキ グランドビュー ペントハウス,3ベッドルーム・4.5バスルーム,最大6名,最低10泊,"485,000円～",カラカウア通り沿いに建ち、クルーズ船の先端をイメージさせる斬新なデザインが特徴の高級コンドミニアムのペントハウスです。 部屋全体が広いガラス張りの為、リビングルーム、ベッドルームからの景色をお楽しみいただけます。 また、ラナイでのサンセットカクテルタイムも人気です。アラモアナショッピングセンター、アラモアナビーチまで徒歩圏。,,ワイキキグランドビューペントハウスはクルーズ船の先端をイメージさせる斬新なデザインが特徴の高級コンドミニアムのペントハウス,"コンドミニアム,オアフ島,ワイキキ グランドビュー"
oahu_03,oahu,オアフ島,,,03,Trump,トランプ インターナショナル ホテル ワイキキビーチウオーク,2ベッドルーム・2バスルーム,最大6名,最低1泊,"190,000円～",ワイキキビーチウオーク沿いに建つホテルタイプの高級コンドミニアムです。 24時間のセキュリティースタッフ常駐、コンシェルジュサービスも充実しています。 スイミングプール、ジャグジーも有り、フロントと隣接しているバーカウンター、レストランから毎週金曜日の夜にはヒルトンの花火が眺める事ができます。 日本人の観光客には人気のコンドミニアムです。 3ベッドルームも承ります。 夏季、年末年始のご予約はお早めにお問い合わせ下さい。,"人数に関わらず1室あたりの料金です。                                                                               別途14.962%(州税4.712%+宿泊税10.25%)の税金を頂戴いたします。
税金が改定される場合もございますので、予めご了承ください。
お問い合わせの際に、空室状況、宿泊料金、取消料等の条件をご案内させて頂きます。",トランプインターナショナルホテルワイキキビーチウオークはホテルタイプの高級コンドミニアム。コンシェルジュサービスも充実,"コンドミニアム,オアフ島,トランプ インターナショナル,ワイキキビーチウオーク"
oahu_04,oahu,オアフ島,,,04,Park_Lane,パークレーン サンセットリゾート,2ベッドルーム・2バスルーム,最大6名,最低7泊,"330,000円～",アラモアナショッピングセンターに隣接している高級コンドミニアムです。 24時間のセキュリティースタッフ常駐し、コンシェルジュサービスも充実しており、高級ホテルと同等以上のサービスが提供されると評判です。 フィットネスルーム、パーティールームでのパーティーの手配も承ります。 日本のセレブに人気のコンドミニアムですので、ピークシーズンの予約はお早目に。,,パークレーンサンセットリゾートはアラモアナショッピングセンターに隣接している高級コンドミニアム,"コンドミニアム,オアフ島,パークレーン サンセットリゾート"
oahu_05,oahu,オアフ島,,,05,Hale_Ko_Olina,ハレ コオリナビーチ ヴィラ,3ベッドルーム・3バスルーム,最大6名,最低6泊,"98,000円～",ディズニーホテルで人気のコオリナに建つコンドミニアムです。 コオリナは海と山の風景が美しいビーチで、4つのラグーンビーチやコオリナ・ゴルフクラブなど大人も子供も一日中楽しめます。 ワイケレのショツピングモールへはコオリナから車で15分で便利なロケーションです。,,ハレコオリナビーチヴィラは人気のコオリナに建つコンドミニアム,"コンドミニアム,オアフ島,ワイキキ,ハレコオリナビーチ ヴィラ"
oahu_06,oahu,オアフ島,,,06,Hale_Papakea,ハレ パパケア コオリナビーチ,2ベッドルーム・2バスルーム,最大6名,最低6泊,"130,000円～",ディズニーホテルで人気のコオリナに建つコンドミニアムです。 コオリナは海と山の風景が美しいビーチで、4つのラグーンビーチやコオリナ・ゴルフクラブなど大人も子供も一日中楽しめます。 ワイケレのショツピングモールへはコオリナから車で15分で便利なロケーションです。,,ハレパパケアコオリナビーチはディズニーホテルで人気のコオリナに建つコンドミニアム,"コンドミニアム,オアフ島,ワイキキ,ハレパパケアコオリナビーチ"
maui_01,maui,マウイ島,,,01,Sea_Mist,シーミスト ヴィラ 2403,3ベッドルーム・3.5バスルーム,最大8名,最低5泊,"345,000円～",マウイ島の高級リゾート、カパルアベイにあるヴィラタイプの高級コンドミニアム。 オーシャンフロントのラナイ/バルコニーから眺める夕日に癒されます。1月から3月はクジラの出産時期、運が良ければホエールウォッチングが楽しめます。 カパルア・ゴルフクラブへは車で5分の距離、ゴルフ好きにも最高のロケーション。,,シーミストヴィラ2403はマウイ島の高級リゾート、カパルアベイにあるヴィラタイプの高級コンドミニアム,"コンドミニアム,マウイ島,シーミスト"
maui_02,maui,マウイ島,,,02,KaanaPali,カアナパリ ロイヤル A201,2ベッドルーム・2バスルーム,最大6名,最低5泊,"75,000円～",マウイ島の高級リゾート、カアナパリのゴルフクラブ敷地内に有るヴィラタイプのコンドミニアムです。 仲間との少人数でのゴルフコンペ、毎日ゴルフをされたい方に、特に冬のオフシーズンは勧めのゴルフヴィラです。,,カアナパリロイヤルA201はマウイ島の高級リゾート、カアナパリのゴルフクラブ敷地内に有るヴィラタイプのコンドミニアム,"コンドミニアム,マウイ島,カアナパリ"
maui_03,maui,マウイ島,,,03,Sand_Castle,サンドキャスル スイート L509,4ベッドルーム・3バスルーム,最大8名,最低5泊,"330,000円～",マウイ島ワイレアビーチに有る高級ヴィラタイプのコンドミニアム。 ラナイバルコニーからの海の眺めは絶景です。 最大8名様まで宿泊可能ですので、家族や省グループにお勧めです。 ハワイでの挙式後のパーティーなどにもご利用可能です。 詳しくは担当者までお問い合わせください。,,サンドキャスルスイートL509はマウイ島ワイレアビーチに有る高級ヴィラタイプのコンドミニアム,"コンドミニアム,マウイ島,サンドキャスル"
hawaii_01,hawaii,ハワイ島,,,01,Hill_Side,ヒルサイド ヴィラ 7101,3ベッドルーム・2バスルーム,最大6名,最低5泊,"210,000円～",コナ空港から車で15分にある、ファラライ ゴルフ コースのフェアウェイ沿いにあるヴィラタイプのコンドミニアムです。 部屋から海も一望でき、モダンでエレガントなリビングダイニング、キッチン、ベッドルームでゴルフ好きな方はもちろん、ご家族や友人同士の休暇をより一層贅沢で快適な時間をお過ごしいただけます。,,ヒルサイドヴィラ7101はファラライ ゴルフ コースのフェアウェイ沿いにあるヴィラタイプのコンドミニアム,"コンドミニアム,ハワイ島,ヒルサイド"
hawaii_02,hawaii,ハワイ島,,,02,Wai_Koloa,ワイコロア コロニーヴィラ 403,2ベッドルーム・2.5バスルーム,最大6名,最低4泊,"48,000円～",ワイコロア ビーチ リゾートにあるビーチゴルフコースに隣接したヴィラです。  ゴルフ、プール、ジャグジー、テニスと豊富なアクティビティで大人も子供もお楽しみいただけます。,,ワイコロアコロニーヴィラ403はワイコロア ビーチ リゾートにあるビーチゴルフコースに隣接したヴィラ,"コンドミニアム,ハワイ島,ワイコロア"
